College:,Course:,Number of Students:
Gonville and Caius,Psych & Behav Sciences Tripos,3
Gonville and Caius,"Theo,Relig,&Philo of Re Tripos",2
Gonville and Caius,Veterinary Medicine,2
Homerton,ASNC Tripos,1
Homerton,Archaeology Tripos,1
Homerton,Architecture Tripos,2
Homerton,Asian & Middle Eastern Studies,3
Homerton,Chem Eng via Nat Sciences,1
Homerton,Classical Tripos,1
Homerton,Classical Tripos Four Year,1
Homerton,Computer Science Tripos,5
Homerton,Economics Tripos,7
Homerton,Education Tripos,12
Homerton,Engineering Tripos,21
Homerton,English Tripos,10
Homerton,Geographical Tripos,6
Homerton,Historical Tripos,7
Homerton,History & Politics Tripos,4
Homerton,History and Mod Lang Tripos,1
Homerton,History of Art Tripos,1
Homerton,"Hum, Soc & Pol Sciences Tripos",11
Homerton,Land Economy Tripos,8
Homerton,Law Tripos,9
Homerton,Linguistics Tripos,1
Homerton,Mathematical Tripos,10
Homerton,Medicine,7
Homerton,Mod & Med Langs Tripos,6
Homerton,Music Tripos,3
Homerton,Natural Sciences Tripos,25
Homerton,Philosophy Tripos,3
Homerton,Psych & Behav Sciences Tripos,5
Homerton,"Theo,Relig,&Philo of Re Tripos",1
Homerton,Veterinary Medicine,3
Jesus,ASNC Tripos,2
Jesus,Archaeology Tripos,1
Jesus,Architecture Tripos,3
Jesus,Asian & Middle Eastern Studies,1
Jesus,Chem Eng via Engineering,2
Jesus,Classical Tripos,1
Jesus,Classical Tripos Four Year,1
Jesus,Computer Science Tripos,7
Jesus,Economics Tripos,5
Jesus,Education Tripos,2
Jesus,Engineering Tripos,12
Jesus,English Tripos,8
Jesus,Geographical Tripos,3
Jesus,Historical Tripos,8
Jesus,History & Politics Tripos,2
Jesus,History and Mod Lang Tripos,1
Jesus,History of Art Tripos,1
Jesus,"Hum, Soc & Pol Sciences Tripos",4
Jesus,Land Economy Tripos,2
Jesus,Law Tripos,7
Jesus,Linguistics Tripos,1
Jesus,Mathematical Tripos,6
Jesus,Medicine,11
Jesus,Mod & Med Langs Tripos,8
Jesus,Music Tripos,3
Jesus,Natural Sciences Tripos,29
Jesus,Philosophy Tripos,3
Jesus,Psych & Behav Sciences Tripos,3
Jesus,"Theo,Relig,&Philo of Re Tripos",4
Jesus,Theol for Ministry Exam,1
Jesus,Veterinary Medicine,3
King's,Architecture Tripos,4
King's,Asian & Middle Eastern Studies,3
King's,Chem Eng via Nat Sciences,1
King's,Classical Tripos,4
King's,Classical Tripos Four Year,1
King's,Computer Science Tripos,7
King's,Economics Tripos,7
King's,Engineering Tripos,9
King's,English Tripos,5
King's,Geographical Tripos,2
King's,Historical Tripos,8
King's,History & Politics Tripos,4
King's,History and Mod Lang Tripos,1
King's,History of Art Tripos,3
King's,"Hum, Soc & Pol Sciences Tripos",7
King's,Law Tripos,5
King's,Linguistics Tripos,2
King's,Mathematical Tripos,8
King's,Medicine,8
King's,Mod & Med Langs Tripos,7
King's,Music Tripos,6
King's,Natural Sciences Tripos,17
King's,Philosophy Tripos,3
King's,Psych & Behav Sciences Tripos,5
Lucy Cavendish,ASNC Tripos,1
Lucy Cavendish,Archaeology Tripos,2
Lucy Cavendish,Architecture Tripos,4
Lucy Cavendish,Asian & Middle Eastern Studies,1
Lucy Cavendish,Chem Eng via Engineering,1
Lucy Cavendish,Chem Eng via Nat Sciences,2
Lucy Cavendish,Classical Tripos,1
Lucy Cavendish,Classical Tripos Four Year,1
Lucy Cavendish,Computer Science Tripos,2
Lucy Cavendish,Economics Tripos,7
Lucy Cavendish,Education Tripos,2
Lucy Cavendish,Engineering Tripos,10
Lucy Cavendish,English Tripos,9
Lucy Cavendish,Geographical Tripos,5
Lucy Cavendish,Historical Tripos,5
Lucy Cavendish,History & Politics Tripos,3
Lucy Cavendish,History of Art Tripos,1
Lucy Cavendish,"Hum, Soc & Pol Sciences Tripos",10
Lucy Cavendish,Land Economy Tripos,5
